@relation ilx5.arff
@attribute var_1 numeric
@attribute var_2 numeric
@attribute id numeric
@attribute outlier {'no','yes'}
@data
0.2225183199,0.7883298714,1,'no'
0.1559668028,0.7632310056,2,'no'
0.2374994,0.7735984,3,'no'
0.1980285851,0.7098982571,4,'no'
0.2616646828,0.6704418747,5,'no'
0.2030416953,0.7347975141,6,'no'
0.3064904159,0.6902919556,7,'no'
0.2842777643,0.738365511,8,'no'
0.2053096731,0.7428170098,9,'no'
0.2077183737,0.7507873027,10,'no'
0.2327986,0.7563122,11,'no'
0.2180195776,0.7186034169,12,'no'
0.215244611,0.7711917048,13,'no'
0.2039350839,0.7803596247,14,'no'
0.2607572022,0.718573999,15,'no'
0.2931351461,0.7146494746,16,'no'
0.2039961447,0.8184813525,17,'no'
0.2803568069,0.7161289758,18,'no'
0.2224479437,0.6727625517,19,'no'
0.1879572805,0.7862968001,20,'no'
0.2872974492,0.7945900385,21,'no'
0.2712753218,0.7521799499,22,'no'
0.25260232,0.7375688203,23,'no'
0.2092131027,0.7543484627,24,'no'
0.2752763726,0.7853181288,25,'no'
0.2029081137,0.7051821712,26,'no'
0.2375590873,0.8251065576,27,'no'
0.1964365994,0.730511204,28,'no'
0.2514615416,0.7983455398,29,'no'
0.2292728118,0.737001377,30,'no'
0.2983225463,0.7609297935,31,'no'
0.2029677338,0.7984580105,32,'no'
0.2439869027,0.8032512717,33,'no'
0.3023454382,0.680721846,34,'no'
0.2605538337,0.7235272861,35,'no'
0.2687578251,0.724368894,36,'no'
0.3063809655,0.7899582016,37,'no'
0.264704377,0.7615201267,38,'no'
0.1829896745,0.7278944896,39,'no'
0.2170246394,0.7368279607,40,'no'
0.181823987,0.7740302446,41,'no'
0.3065593256,0.7337959331,42,'no'
0.2352777902,0.7380422083,43,'no'
0.3100090258,0.7885794584,44,'no'
0.2103455581,0.6874932244,45,'no'
0.2541124706,0.7656493948,46,'no'
0.2781490266,0.7271079378,47,'no'
0.2660829558,0.7915967608,48,'no'
0.3003299665,0.7234573858,49,'no'
0.1815215164,0.7095338322,50,'no'
0.2512776247,0.7438694999,51,'no'
0.3098626568,0.7775360767,52,'no'
0.2307459788,0.6824100892,53,'no'
0.2156988084,0.7620046925,54,'no'
0.1835179551,0.7981412971,55,'no'
0.20625837,0.7691560734,56,'no'
0.2947503737,0.7486847327,57,'no'
0.3281144878,0.8104480472,58,'no'
0.2082393434,0.7387634028,59,'no'
0.2305587458,0.6949130653,60,'no'
0.244398705,0.7654926375,61,'no'
0.2866910855,0.7614094808,62,'no'
0.3014838543,0.7034441483,63,'no'
0.2528244836,0.7755234071,64,'no'
0.3220857054,0.7600928124,65,'no'
0.2557890614,0.7494393002,66,'no'
0.171957835,0.7368635503,67,'no'
0.1880279295,0.7244508058,68,'no'
0.1693845892,0.7154201808,69,'no'
0.1896017175,0.6820443276,70,'no'
0.2540901462,0.7916198603,71,'no'
0.2575684993,0.7434440051,72,'no'
0.2171101941,0.7293907077,73,'no'
0.2286264,0.7747574,74,'no'
0.2525481701,0.7898072849,75,'no'
0.3073837819,0.7015168146,76,'no'
0.2819275325,0.7689053884,77,'no'
0.2694807144,0.8373758528,78,'no'
0.2588218223,0.7255296286,79,'no'
0.2421354116,0.8200115531,80,'no'
0.262916527,0.703667804,81,'no'
0.2546884436,0.761416354,82,'no'
0.2374501507,0.7267085856,83,'no'
0.3040010148,0.8009067304,84,'no'
0.2579580823,0.7189356681,85,'no'
0.2663458716,0.7520018098,86,'no'
0.2986434312,0.700208898,87,'no'
0.25924847,0.7763635575,88,'no'
0.2059935913,0.7400399815,89,'no'
0.2178829082,0.7403140182,90,'no'
0.3179576779,0.7497932127,91,'no'
0.2138285675,0.7943446931,92,'no'
0.2557675632,0.6941396366,93,'no'
0.2522237139,0.7943940007,94,'no'
0.3002177231,0.743089979,95,'no'
0.19708666,0.7954764321,96,'no'
0.3187624678,0.7669449786,97,'no'
0.2202104218,0.8388793977,98,'no'
0.3514818981,0.7827072693,99,'no'
0.1809722095,0.7812986916,100,'no'
0.0650549277,0.5172400792,101,'yes'
0.43,0.47,102,'yes'
0.62,0.85,103,'yes'
0.3,1.1,104,'yes'
0,1,105,'yes'
